,track_uri,track_name,artist_name,artist_pop,artist_genres,album,track_pop,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
17,spotify:track:1dm6z1fWB0cErMszU25dy2,Después de la Playa,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,92,0.356,0.564,0.903,0.0,0.175,-3.221,0.307,78.293,4
18,spotify:track:41oY4WCTj5kccfesTVFnvN,Tarot,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,92,0.0225,0.795,0.684,0.0,0.658,-3.971,0.0419,114.011,4
19,spotify:track:51Zw1cKDgkad0CXv23HCMU,Daylight,Harry Styles,94,['pop'],Harry's House,89,0.484,0.686,0.445,0.00144,0.175,-7.189,0.0398,145.5,3
20,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,Elton John,82,"['glam rock', 'mellow gold', 'piano rock']",The Lockdown Sessions,84,0.0354,0.795,0.8,7.25e-05,0.0915,-6.32,0.0309,116.032,4
21,spotify:track:58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,Elley Duhé,75,"['alt z', 'pop']",MIDDLE OF THE NIGHT,92,0.0228,0.41,0.611,0.0,0.116,-8.271,0.0467,185.727,3
22,spotify:track:3i058E8uxTsYqJ5NWZzqSj,Little Freak,Harry Styles,94,['pop'],Harry's House,89,0.719,0.559,0.535,0.000143,0.0954,-7.723,0.039,141.96,4
23,spotify:track:06JvOZ39sK8D8SqiqfaxDU,True Love,Kanye West,90,"['chicago rap', 'rap']",True Love,82,0.0182,0.712,0.861,6.09e-06,0.511,-5.487,0.25,84.042,4
24,spotify:track:5CzixCxDkRXX9mScCmah8O,Un Ratito,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,91,0.305,0.787,0.546,4.55e-05,0.122,-7.094,0.0532,93.05,4
25,spotify:track:7fYRg3CEbk6rNCuzNzMT06,Potion (with Dua Lipa & Young Thug),Calvin Harris,83,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'progressive house', 'uk dance']",Potion (with Dua Lipa & Young Thug),82,0.158,0.824,0.697,4.11e-05,0.077,-4.869,0.0473,99.988,4
26,spotify:track:1HhNoOuqm1a5MXYEgAFl8o,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,86,"['modern rock', 'rock']",Mercury - Act 1,83,0.237,0.728,0.783,0.0,0.434,-4.424,0.266,77.011,4
27,spotify:track:6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber,91,"['canadian pop', 'pop']",Justice,89,0.185,0.601,0.741,2.91e-05,0.415,-5.569,0.0478,153.96,4
28,spotify:track:1O2pcBJGej0pmH2Y9XZMs6,Una Noche en Medellín,Cris Mj,79,"['mambo chileno', 'urbano chileno']",Una Noche en Medellín,91,0.0924,0.87,0.548,4.6e-05,0.0534,-5.253,0.077,96.018,4
29,spotify:track:4j6kId9QIqhoXvqHKgSKa0,Grapejuice,Harry Styles,94,['pop'],Harry's House,89,0.357,0.645,0.721,0.143,0.204,-4.394,0.0336,182.928,4
30,spotify:track:7FlQk2gJ6TBrHHiidvdR2O,MAMIII,Becky G,81,"['dance pop', 'latin', 'latin viral pop', 'rap latina', 'reggaeton']",ESQUEMAS,76,0.0845,0.836,0.703,0.0,0.138,-3.554,0.0657,94.048,4
